SOTA-REF,COUNTY,STATE
W7I/BL-001,BLAINE,ID
W7I/BL-006,BLAINE,ID
W7I/BL-010,BLAINE,ID
W7I/BL-013,BLAINE,ID
W7I/BL-015,BLAINE,ID
W7I/BL-017,BLAINE,ID
W7I/BL-020,BLAINE,ID
W7I/BL-021,BLAINE,ID
W7I/BL-022,BLAINE,ID
W7I/BL-025,BLAINE,ID
W7I/BL-026,BLAINE,ID
W7I/BL-028,BLAINE,ID
W7I/BL-029,BLAINE,ID
W7I/BL-030,BLAINE,ID
W7I/BL-031,BLAINE,ID
W7I/BL-032,BLAINE,ID
W7I/BL-034,BLAINE,ID
W7I/BL-038,BLAINE,ID
W7I/BL-039,BLAINE,ID
W7I/BL-042,BLAINE,ID
W7I/BL-044,BLAINE,ID
W7I/BL-045,BLAINE,ID
W7I/BL-046,BLAINE,ID
W7I/BL-047,BLAINE,ID
W7I/BL-048,BLAINE,ID
W7I/BL-050,BLAINE,ID
W7I/BL-051,BLAINE,ID
W7I/BL-052,BLAINE,ID
W7I/BL-053,BLAINE,ID
W7I/BL-054,BLAINE,ID
W7I/BL-055,BLAINE,ID
W7I/BL-056,BLAINE,ID
W7I/BL-057,BLAINE,ID
W7I/BL-058,BLAINE,ID
W7I/BL-059,BLAINE,ID
W7I/BL-060,BLAINE,ID
W7I/BL-061,BLAINE,ID
W7I/BL-062,BLAINE,ID
W7I/BL-063,BLAINE,ID
W7I/BL-064,BLAINE,ID
W7I/BL-065,BLAINE,ID
W7I/BL-066,BLAINE,ID
W7I/BL-067,BLAINE,ID
W7I/BL-068,BLAINE,ID
W7I/BL-070,BLAINE,ID
W7I/BL-071,BLAINE,ID
W7I/BL-073,BLAINE,ID
W7I/BL-074,BLAINE,ID
W7I/BL-075,BLAINE,ID
W7I/BL-077,BLAINE,ID
W7I/BL-078,BLAINE,ID
W7I/BL-079,BLAINE,ID
W7I/BL-080,BLAINE,ID
W7I/BL-081,BLAINE,ID
W7I/BL-082,BLAINE,ID
W7I/BL-083,BLAINE,ID
W7I/BL-085,BLAINE,ID
W7I/BL-086,BLAINE,ID
W7I/BL-087,BLAINE,ID
W7I/BL-088,BLAINE,ID
W7I/BL-089,BLAINE,ID
W7I/BL-090,BLAINE,ID
W7I/BL-091,BLAINE,ID
W7I/BL-092,BLAINE,ID
W7I/BL-093,BLAINE,ID
W7I/BL-094,BLAINE,ID
W7I/BL-095,BLAINE,ID
W7I/BL-096,BLAINE,ID
W7I/BL-097,BLAINE,ID
W7I/BL-098,BLAINE,ID
W7I/BL-099,BLAINE,ID
W7I/BL-100,BLAINE,ID
W7I/BL-101,BLAINE,ID
W7I/BL-102,BLAINE,ID
W7I/BL-103,BLAINE,ID
W7I/BL-104,BLAINE,ID
W7I/BL-105,BLAINE,ID
W7I/BL-106,BLAINE,ID
W7I/BL-107,BLAINE,ID
W7I/BL-108,BLAINE,ID
W7I/BL-109,BLAINE,ID
W7I/BL-110,BLAINE,ID
W7I/BL-111,BLAINE,ID
W7I/BL-112,BLAINE,ID
W7I/BL-113,BLAINE,ID
W7I/BL-114,BLAINE,ID
W7I/BL-115,BLAINE,ID
